,iterations,learning_rate,max_depth,rsm,subsample,score
0,500,0.005,3,0.6,0.6,0.5340732754388646
1,500,0.005,3,0.6,1.0,0.5332552989026265
2,500,0.005,3,1.0,0.6,0.5343452189136879
3,500,0.005,3,1.0,1.0,0.5333025997390395
4,500,0.005,5,0.6,0.6,0.5503032926952148
5,500,0.005,5,0.6,1.0,0.551560270994146
6,500,0.005,5,1.0,0.6,0.5521419224467727
7,500,0.005,5,1.0,1.0,0.5540859639324527
8,500,0.005,7,0.6,0.6,0.5470368168728325
9,500,0.005,7,0.6,1.0,0.5481854040780088
10,500,0.005,7,1.0,0.6,0.5494230460855178
11,500,0.005,7,1.0,1.0,0.5498200331720806
12,500,0.01,3,0.6,0.6,0.5919591639536803
13,500,0.01,3,0.6,1.0,0.5896513662024098
14,500,0.01,3,1.0,0.6,0.5913105243186593
15,500,0.01,3,1.0,1.0,0.589285728772962
16,500,0.01,5,0.6,0.6,0.6022245825959829
17,500,0.01,5,0.6,1.0,0.604062467131319
18,500,0.01,5,1.0,0.6,0.6051373719065538
19,500,0.01,5,1.0,1.0,0.6061568502197716
20,500,0.01,7,0.6,0.6,0.6035683115148004
21,500,0.01,7,0.6,1.0,0.6069070002438448
22,500,0.01,7,1.0,0.6,0.6073875165757852
23,500,0.01,7,1.0,1.0,0.605119646424774
24,500,0.02,3,0.6,0.6,0.6248156830694622
25,500,0.02,3,0.6,1.0,0.6249741970238245
26,500,0.02,3,1.0,0.6,0.6229453543494972
27,500,0.02,3,1.0,1.0,0.6209560913736893
28,500,0.02,5,0.6,0.6,0.6348712170845463
29,500,0.02,5,0.6,1.0,0.6360531870154034
30,500,0.02,5,1.0,0.6,0.6400728890070837
31,500,0.02,5,1.0,1.0,0.6410825885652857
32,500,0.02,7,0.6,0.6,0.6400186559447014
33,500,0.02,7,0.6,1.0,0.6428631788391004
34,500,0.02,7,1.0,0.6,0.6418773885726767
35,500,0.02,7,1.0,1.0,0.6399579054311553
36,500,0.05,3,0.6,0.6,0.6503063938003775
37,500,0.05,3,0.6,1.0,0.6566601758029146
38,500,0.05,3,1.0,0.6,0.6531289437069461
39,500,0.05,3,1.0,1.0,0.648703124642222
40,500,0.05,5,0.6,0.6,0.6713548945488912
41,500,0.05,5,0.6,1.0,0.6624380872824649
42,500,0.05,5,1.0,0.6,0.6644429223175344
43,500,0.05,5,1.0,1.0,0.6722728154373259
44,500,0.05,7,0.6,0.6,0.6697205108366608
45,500,0.05,7,0.6,1.0,0.672109275657726
46,500,0.05,7,1.0,0.6,0.6603787530450178
47,500,0.05,7,1.0,1.0,0.6631697131407037
48,500,0.1,3,0.6,0.6,0.6633930602910232
49,500,0.1,3,0.6,1.0,0.6571020716666369
50,500,0.1,3,1.0,0.6,0.6649957184313123
51,500,0.1,3,1.0,1.0,0.6567318380067808
52,500,0.1,5,0.6,0.6,0.6727422190457975
53,500,0.1,5,0.6,1.0,0.6672328462199365
54,500,0.1,5,1.0,0.6,0.6622184442558681
55,500,0.1,5,1.0,1.0,0.6770587621527957
56,500,0.1,7,0.6,0.6,0.6641733039662585
57,500,0.1,7,0.6,1.0,0.6566719683299151
58,500,0.1,7,1.0,0.6,0.6600449253603291
59,500,0.1,7,1.0,1.0,0.6605557542959705
60,500,0.2,3,0.6,0.6,0.6524235480967654
61,500,0.2,3,0.6,1.0,0.6513520667053404
62,500,0.2,3,1.0,0.6,0.6601547993518144
63,500,0.2,3,1.0,1.0,0.6612731058178283
64,500,0.2,5,0.6,0.6,0.6568096909909513
65,500,0.2,5,0.6,1.0,0.6638562879089286
66,500,0.2,5,1.0,0.6,0.6620515228671182
67,500,0.2,5,1.0,1.0,0.6630200532739208
68,500,0.2,7,0.6,0.6,0.6426782417081162
69,500,0.2,7,0.6,1.0,0.6406006992635656
70,500,0.2,7,1.0,0.6,0.6446375336688202
71,500,0.2,7,1.0,1.0,0.6433104306448053
72,1000,0.005,3,0.6,0.6,0.5918669490862272
73,1000,0.005,3,0.6,1.0,0.5892746195969424
74,1000,0.005,3,1.0,0.6,0.5925301985097452
75,1000,0.005,3,1.0,1.0,0.5905923845000338
76,1000,0.005,5,0.6,0.6,0.6039804457198035
77,1000,0.005,5,0.6,1.0,0.6039174848076767
78,1000,0.005,5,1.0,0.6,0.6051194375091938
79,1000,0.005,5,1.0,1.0,0.6071456431452584
80,1000,0.005,7,0.6,0.6,0.6044632263512331
