,alpha,kernel,score
0,1e-10,"Matern(length_scale=1, nu=1.5)",0.40640088297120897
1,1e-10,"Matern(length_scale=1, nu=0.5)",0.49302720537969014
2,1e-10,"Matern(length_scale=1, nu=2.5)",0.34192351269699534
3,1e-10,"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=0.5)",0.5198040260674469
4,1e-10,"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)",0.5107988252955812
5,1e-10,"Matern(length_scale=1, nu=0.5) + RBF(length_scale=1)",0.5083980876940082
6,1e-10,"Matern(length_scale=1, nu=2.5) + RBF(length_scale=1)",0.5150592343101729
7,1e-10,"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)",0.406398207824003
8,1e-10,"Matern(length_scale=1, nu=0.5) * RBF(length_scale=1)",0.4930258956107264
9,1e-10,"Matern(length_scale=1, nu=2.5) * RBF(length_scale=1)",0.3419215122087786
10,1e-10,"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=0.5)",0.4930234428535831
11,2e-10,"Matern(length_scale=1, nu=1.5)",0.4064008830417468
12,2e-10,"Matern(length_scale=1, nu=0.5)",0.4930272053856316
13,2e-10,"Matern(length_scale=1, nu=2.5)",0.34192351277582766
14,2e-10,"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=0.5)",0.5198040261020719
15,2e-10,"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)",0.5107988165211574
16,2e-10,"Matern(length_scale=1, nu=0.5) + RBF(length_scale=1)",0.5083980859567541
17,2e-10,"Matern(length_scale=1, nu=2.5) + RBF(length_scale=1)",0.5150596059026895
18,2e-10,"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)",0.4063988661463284
19,2e-10,"Matern(length_scale=1, nu=0.5) * RBF(length_scale=1)",0.4930258614759758
20,2e-10,"Matern(length_scale=1, nu=2.5) * RBF(length_scale=1)",0.34192155295468146
21,2e-10,"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=0.5)",0.49302723248763736
22,5e-10,"Matern(length_scale=1, nu=1.5)",0.40640088316753803
23,5e-10,"Matern(length_scale=1, nu=0.5)",0.49302720540345657
24,5e-10,"Matern(length_scale=1, nu=2.5)",0.3419235130123228
