id,y
0,61.0
1,77.0
2,65.0
3,73.0
4,73.0
5,57.0
6,68.0
7,71.0
8,59.0
9,60.0
10,73.0
11,77.0
12,55.0
13,70.0
14,76.0
15,67.0
16,75.0
17,70.0
18,65.0
19,64.0
20,65.0
21,59.0
22,78.0
23,77.0
24,59.0
25,69.0
26,76.0
27,75.0
28,67.0
29,65.0
30,65.0
31,72.0
32,69.0
33,70.0
34,64.0
35,57.0
36,61.0
37,78.0
38,66.0
39,61.0
40,68.0
41,67.0
42,71.0
43,75.0
44,55.0
45,78.0
46,63.0
47,77.0
48,76.0
49,79.0
50,84.0
51,63.0
52,81.0
53,76.0
54,79.0
55,79.0
56,74.0
57,71.0
58,71.0
59,72.0
60,76.0
61,70.0
62,70.0
63,77.0
64,77.0
65,65.0
66,73.0
67,55.0
68,79.0
69,78.0
70,62.0
71,73.0
72,69.0
73,75.0
74,62.0
75,61.0
76,77.0
77,64.0
78,73.0
79,58.0
80,72.0
81,76.0
82,69.0
83,66.0
84,79.0
85,73.0
86,73.0
87,70.0
88,67.0
89,61.0
90,65.0
91,72.0
92,76.0
93,66.0
94,79.0
95,80.0
96,75.0
97,59.0
98,57.0
99,79.0
100,74.0
101,65.0
102,52.0
103,81.0
104,81.0
105,67.0
106,69.0
107,79.0
108,70.0
109,74.0
110,73.0
111,70.0
112,70.0
113,71.0
114,63.0
115,82.0
116,72.0
117,75.0
118,72.0
119,77.0
120,76.0
121,69.0
122,71.0
123,78.0
124,73.0
125,74.0
126,61.0
127,72.0
128,81.0
129,76.0
130,76.0
131,67.0
132,78.0
133,72.0
134,72.0
135,74.0
136,58.0
137,74.0
138,64.0
139,78.0
140,79.0
141,72.0
142,76.0
143,69.0
144,71.0
145,62.0
146,73.0
147,77.0
148,79.0
149,68.0
150,65.0
151,76.0
152,67.0
153,71.0
154,60.0
155,64.0
156,71.0
157,70.0
158,80.0
159,68.0
160,82.0
161,60.0
162,65.0
163,60.0
164,77.0
165,70.0
166,74.0
167,70.0
168,64.0
169,76.0
170,75.0
171,70.0
172,71.0
173,78.0
174,75.0
175,65.0
176,73.0
177,56.0
178,76.0
179,70.0
180,72.0
181,68.0
182,66.0
183,71.0
184,75.0
185,64.0
186,69.0
187,71.0
188,82.0
189,79.0
190,55.0
191,63.0
192,72.0
193,59.0
194,77.0
195,58.0
196,65.0
197,74.0
198,74.0
199,73.0
200,76.0
201,72.0
202,76.0
203,68.0
204,68.0
205,76.0
206,58.0
207,74.0
208,62.0
209,79.0
210,64.0
211,66.0
212,77.0
213,71.0
214,82.0
215,62.0
216,69.0
217,67.0
218,60.0
219,78.0
220,66.0
221,70.0
222,69.0
223,71.0
224,68.0
225,72.0
226,71.0
227,74.0
228,73.0
229,68.0
230,59.0
231,56.0
232,74.0
233,62.0
234,72.0
235,61.0
236,81.0
237,71.0
238,74.0
239,72.0
240,60.0
241,67.0
242,67.0
243,68.0
244,70.0
245,78.0
246,62.0
247,69.0
248,70.0
249,69.0
250,73.0
251,57.0
252,81.0
253,70.0
254,80.0
255,83.0
256,60.0
257,64.0
258,61.0
259,73.0
260,61.0
261,82.0
262,68.0
263,81.0
264,58.0
265,69.0
266,62.0
267,65.0
268,80.0
269,61.0
270,63.0
271,82.0
272,81.0
273,75.0
274,80.0
275,64.0
276,56.0
277,77.0
278,76.0
279,77.0
280,71.0
281,56.0
282,81.0
283,73.0
284,79.0
285,59.0
286,76.0
287,74.0
288,62.0
289,69.0
290,62.0
291,79.0
292,71.0
293,78.0
294,77.0
295,75.0
296,67.0
297,80.0
298,75.0
299,68.0
300,65.0
301,81.0
302,55.0
303,59.0
304,69.0
305,68.0
306,69.0
307,65.0
308,84.0
309,75.0
310,67.0
311,66.0
312,66.0
313,64.0
314,83.0
315,68.0
316,75.0
317,58.0
318,67.0
319,73.0
320,71.0
321,55.0
322,75.0
323,67.0
324,57.0
325,68.0
326,81.0
327,80.0
328,60.0
329,64.0
330,65.0
331,68.0
332,81.0
333,78.0
334,75.0
335,68.0
336,62.0
337,57.0
338,78.0
339,72.0
340,77.0
341,78.0
342,68.0
343,79.0
344,69.0
345,67.0
346,78.0
347,59.0
348,79.0
349,66.0
350,74.0
351,73.0
352,71.0
353,74.0
354,65.0
355,73.0
356,66.0
357,62.0
358,57.0
359,77.0
360,65.0
361,75.0
362,64.0
363,80.0
364,75.0
365,76.0
366,71.0
367,60.0
368,73.0
369,60.0
370,80.0
371,66.0
372,72.0
373,73.0
374,68.0
375,74.0
376,75.0
377,71.0
378,65.0
