iter	MultiClass
0	1.32557671
1	1.27574825
2	1.227580025
3	1.186602317
4	1.149822647
5	1.116730859
6	1.088622092
7	1.058673764
8	1.031898501
9	1.009167778
10	0.986607664
11	0.9650193776
12	0.9473933364
13	0.9295610807
14	0.913603192
15	0.8989601208
16	0.8842034256
17	0.8694129817
18	0.856519245
19	0.8453752062
20	0.8338848637
21	0.8217983782
22	0.8105724137
23	0.7994975075
24	0.7909975907
25	0.7826215139
26	0.7745778179
27	0.7672735565
28	0.7593190821
29	0.7513310826
30	0.7452323228
31	0.739047491
32	0.7327794796
33	0.7268300183
34	0.7212390094
35	0.7163051921
36	0.7101273446
37	0.7049426581
38	0.700257222
39	0.6953737215
40	0.691526807
41	0.6885713784
42	0.6850241941
43	0.6806014434
44	0.6764779406
45	0.6721215836
46	0.667840726
47	0.6643139635
48	0.6603718103
49	0.6577027156
50	0.6540356633
51	0.6500033928
52	0.6475213772
53	0.6438147269
54	0.6406745003
55	0.638270909
56	0.6349093569
57	0.6322243742
58	0.6301596313
59	0.6273646468
60	0.6241455987
61	0.6217864151
62	0.6192445384
63	0.6174596342
64	0.6153735825
65	0.6131971044
66	0.6112777696
67	0.6088606411
68	0.6062265123
69	0.6049159573
70	0.6033537101
71	0.6014085525
72	0.5993252105
73	0.5974161587
74	0.5959138353
75	0.5944429323
76	0.5933552369
77	0.5919516934
78	0.5903691043
79	0.5895284582
80	0.5871819037
81	0.585389465
82	0.5836203576
83	0.582518623
84	0.5810194637
85	0.5792645126
86	0.5771898279
87	0.5756014379
88	0.5736580155
89	0.572454077
90	0.5714285535
91	0.5698851617
92	0.5686307114
93	0.567026822
94	0.5652616733
95	0.564068294
96	0.5630666926
97	0.5611114437
98	0.5597635514
99	0.5589958059
100	0.5581096457
101	0.557296134
102	0.5563924835
103	0.5552355035
104	0.5535199325
105	0.5521865963
106	0.5512215518
107	0.5503093738
108	0.5494581108
109	0.5485219804
110	0.5474846133
111	0.5466208297
112	0.5451999996
113	0.5443063666
114	0.5437526952
115	0.5429073822
116	0.5417736023
117	0.54048546
118	0.5397353048
119	0.5386369962
120	0.5375216091
121	0.536881588
122	0.5358181593
123	0.5352936889
124	0.5343463831
125	0.5330859599
126	0.5324042258
127	0.5313984164
128	0.5306305212
129	0.5299313903
130	0.5293262338
131	0.5279504921
132	0.5271914156
133	0.5259589435
134	0.5247769562
135	0.5232814183
136	0.52231782
137	0.521282395
138	0.5204248648
139	0.5193096725
140	0.5186276455
141	0.5178211408
142	0.5169409233
143	0.5161773929
144	0.5152677909
145	0.5141043951
146	0.5133083161
147	0.5123805868
148	0.5117140707
149	0.5109994632
150	0.5104473925
151	0.5091506957
152	0.5085681647
153	0.5080238132
154	0.5068334066
155	0.5053105999
156	0.5047060671
157	0.5036840912
158	0.5029678942
159	0.501962747
160	0.5012837155
161	0.5003361864
162	0.4993579889
163	0.4979759791
164	0.4971829299
165	0.496404597
166	0.4958505353
167	0.4954221728
168	0.4947914013
169	0.4938963434
170	0.4932276733
171	0.4922271573
172	0.4909249943
173	0.4904307834
174	0.489617823
175	0.4887020537
176	0.4880440824
177	0.4872569783
178	0.4864265516
179	0.4860003054
