iter	Passed	Remaining
0	69	138060
1	78	78899
2	86	57667
3	93	46533
4	104	41675
5	126	42205
6	136	38888
7	148	37094
8	154	34142
9	159	31797
10	165	29910
11	170	28252
12	175	26830
13	180	25607
14	185	24562
15	191	23686
16	196	22867
17	200	22127
18	205	21456
19	210	20887
20	216	20397
21	221	19910
22	226	19469
23	231	19085
24	236	18700
25	241	18367
26	247	18057
27	252	17750
28	257	17491
29	262	17237
30	267	16979
31	272	16775
32	278	16572
33	283	16370
34	288	16171
35	293	16010
36	298	15848
37	304	15704
38	309	15585
39	320	15692
40	325	15547
41	330	15429
42	336	15311
43	341	15192
44	347	15092
45	352	14964
46	358	14886
47	364	14808
48	369	14715
49	375	14633
50	380	14549
51	386	14476
52	391	14378
53	397	14322
54	407	14409
55	416	14468
56	423	14421
57	429	14378
58	436	14365
59	443	14324
60	448	14246
61	455	14236
62	461	14200
63	467	14135
64	472	14075
65	478	14024
66	483	13953
67	489	13899
68	495	13859
69	500	13806
70	505	13746
71	512	13715
72	517	13655
73	522	13610
74	529	13578
75	535	13561
76	540	13506
77	545	13444
78	550	13394
79	555	13336
80	561	13312
81	567	13272
82	572	13221
83	577	13172
84	582	13129
85	587	13077
86	592	13031
87	597	12985
88	602	12942
89	608	12904
90	612	12856
91	618	12821
92	623	12777
93	628	12740
94	633	12705
95	638	12662
96	643	12627
97	649	12597
98	654	12568
99	659	12531
100	664	12500
101	669	12466
102	675	12445
103	680	12410
104	686	12383
105	691	12355
106	696	12315
107	703	12325
108	708	12295
109	713	12266
110	719	12243
111	724	12214
112	729	12187
113	735	12161
114	740	12131
115	744	12096
116	749	12066
117	754	12033
118	759	12005
119	764	11981
120	769	11945
121	774	11921
122	779	11896
123	784	11869
124	789	11847
125	795	11825
126	800	11802
127	807	11811
128	813	11794
129	817	11765
130	823	11742
131	828	11717
132	833	11695
133	838	11680
134	843	11653
135	848	11632
136	854	11614
137	858	11589
138	864	11568
139	869	11545
140	874	11526
141	880	11524
142	886	11509
143	892	11501
144	900	11515
145	905	11493
146	909	11470
147	914	11447
148	919	11427
149	924	11400
150	929	11386
151	934	11362
152	939	11340
153	944	11321
154	949	11302
155	954	11281
156	959	11259
157	963	11237
158	971	11253
159	977	11237
160	982	11222
161	987	11205
162	1000	11278
163	1005	11254
164	1009	11232
165	1014	11209
166	1019	11190
167	1024	11167
168	1028	11148
169	1034	11132
170	1038	11112
171	1044	11097
172	1048	11077
173	1053	11060
174	1059	11048
175	1064	11027
176	1069	11014
177	1074	10999
178	1079	10981
179	1084	10966
180	1089	10950
181	1094	10933
182	1099	10918
183	1104	10900
184	1110	10893
185	1116	10889
186	1123	10894
187	1130	10895
188	1138	10906
189	1143	10896
190	1149	10888
191	1155	10877
192	1160	10865
193	1165	10854
194	1171	10840
195	1176	10829
196	1182	10818
197	1187	10803
198	1193	10801
199	1199	10794
200	1204	10779
201	1210	10775
202	1217	10775
203	1223	10770
204	1228	10754
205	1233	10746
206	1240	10746
207	1245	10732
208	1252	10731
209	1257	10721
210	1263	10710
211	1268	10700
212	1274	10692
213	1280	10687
214	1289	10707
215	1295	10699
216	1300	10686
217	1306	10675
218	1310	10658
219	1315	10647
220	1321	10636
221	1325	10619
222	1330	10606
223	1336	10593
224	1341	10580
225	1346	10569
226	1351	10552
227	1359	10565
228	1364	10556
229	1370	10548
230	1379	10561
231	1383	10545
232	1388	10533
233	1395	10532
234	1400	10516
235	1406	10510
236	1411	10499
237	1416	10484
238	1426	10509
239	1431	10498
240	1436	10487
241	1441	10474
242	1447	10462
243	1452	10449
244	1456	10436
245	1462	10425
246	1467	10411
247	1472	10400
248	1478	10393
249	1482	10378
250	1488	10368
251	1493	10358
252	1498	10347
253	1503	10337
254	1510	10334
255	1515	10322
256	1520	10311
257	1525	10298
258	1530	10285
259	1535	10272
260	1545	10295
261	1550	10284
262	1554	10269
263	1560	10260
264	1565	10248
265	1570	10235
266	1575	10225
267	1580	10212
268	1585	10200
269	1589	10186
270	1594	10172
271	1600	10167
272	1605	10156
273	1610	10145
274	1615	10133
275	1620	10120
276	1625	10110
277	1630	10102
278	1635	10089
279	1642	10086
280	1646	10074
281	1652	10066
282	1657	10058
283	1662	10046
284	1668	10038
285	1674	10032
286	1679	10023
287	1685	10019
288	1691	10015
289	1696	10006
290	1702	9999
291	1707	9990
292	1713	9980
293	1718	9974
294	1724	9964
295	1729	9954
296	1734	9946
297	1740	9940
298	1745	9931
299	1751	9923
300	1756	9916
301	1761	9906
302	1767	9900
303	1773	9896
304	1779	9888
305	1784	9879
306	1791	9881
307	1798	9878
308	1803	9867
309	1808	9860
310	1815	9858
311	1820	9849
312	1825	9841
313	1831	9834
314	1838	9836
315	1843	9825
316	1850	9823
317	1856	9819
318	1867	9842
319	1873	9833
320	1878	9824
321	1883	9815
322	1888	9805
323	1893	9795
324	1898	9782
325	1903	9776
326	1909	9768
327	1914	9759
328	1920	9754
329	1926	9751
330	1932	9744
331	1938	9738
332	1944	9732
333	1949	9722
334	1954	9714
335	1960	9711
336	1966	9703
337	1971	9693
338	1976	9685
339	1981	9676
340	1987	9668
341	1992	9658
342	1996	9646
343	2002	9637
344	2006	9627
345	2012	9618
346	2017	9608
347	2021	9598
348	2027	9589
349	2032	9582
350	2038	9576
351	2046	9580
352	2052	9575
353	2057	9568
354	2062	9558
355	2068	9551
356	2073	9544
357	2079	9536
358	2085	9531
359	2090	9522
360	2095	9515
361	2101	9510
362	2107	9502
363	2112	9493
364	2117	9486
365	2123	9479
366	2128	9471
367	2134	9465
368	2139	9457
369	2144	9448
370	2153	9455
371	2158	9448
372	2164	9440
373	2169	9431
374	2174	9424
375	2179	9415
376	2185	9406
377	2190	9398
378	2195	9388
379	2200	9379
380	2205	9371
381	2210	9361
382	2215	9352
383	2220	9343
384	2224	9332
385	2229	9324
386	2234	9312
387	2239	9304
388	2244	9293
389	2249	9285
390	2254	9276
391	2259	9269
392	2264	9261
393	2269	9250
394	2274	9242
395	2279	9234
396	2285	9226
397	2290	9217
398	2295	9211
399	2300	9202
400	2305	9194
401	2310	9183
402	2315	9173
403	2320	9165
404	2325	9157
405	2331	9155
406	2337	9148
407	2342	9139
408	2347	9132
409	2353	9127
410	2358	9119
411	2364	9113
412	2369	9106
413	2375	9101
414	2381	9094
415	2387	9091
416	2393	9084
417	2398	9077
418	2405	9074
419	2410	9066
420	2415	9059
421	2421	9053
422	2427	9048
423	2431	9039
424	2437	9033
425	2443	9026
426	2448	9019
427	2453	9011
428	2458	9002
429	2463	8995
430	2468	8987
431	2474	8979
432	2479	8973
433	2484	8964
434	2489	8955
435	2494	8947
436	2499	8940
437	2504	8933
438	2510	8925
439	2514	8916
440	2519	8908
441	2525	8900
442	2530	8893
443	2535	8885
444	2541	8880
445	2546	8871
446	2551	8864
447	2556	8855
448	2561	8847
449	2566	8840
450	2572	8836
451	2578	8830
452	2584	8824
453	2588	8814
454	2593	8806
455	2598	8798
456	2603	8789
457	2608	8781
458	2612	8772
459	2618	8764
460	2623	8757
461	2628	8751
462	2633	8742
463	2638	8735
464	2644	8729
465	2649	8721
466	2654	8713
467	2659	8706
468	2664	8699
469	2669	8689
470	2674	8682
471	2689	8705
472	2693	8696
473	2699	8689
474	2704	8682
475	2709	8674
476	2714	8667
477	2719	8658
478	2723	8649
479	2728	8641
480	2733	8633
481	2738	8625
482	2743	8617
483	2748	8610
484	2754	8602
485	2758	8593
486	2764	8587
487	2768	8579
488	2774	8574
489	2780	8567
490	2785	8560
491	2790	8551
492	2795	8545
493	2800	8537
494	2805	8529
495	2810	8521
496	2815	8513
497	2820	8507
498	2825	8498
499	2830	8490
500	2835	8482
501	2839	8474
502	2845	8467
503	2850	8461
504	2856	8455
505	2861	8449
506	2866	8442
507	2872	8437
508	2879	8433
509	2885	8429
510	2891	8424
511	2897	8419
512	2903	8416
513	2909	8412
514	2914	8405
515	2921	8402
516	2926	8395
517	2932	8390
518	2938	8386
519	2945	8381
520	2950	8374
521	2955	8368
522	2961	8363
523	2966	8355
524	2971	8348
525	2977	8342
526	2982	8336
527	2987	8329
528	2993	8324
529	2998	8317
530	3003	8309
531	3009	8303
532	3014	8296
533	3019	8289
534	3024	8282
535	3029	8275
536	3036	8272
537	3043	8271
538	3049	8265
539	3053	8257
540	3059	8250
541	3064	8244
542	3070	8237
543	3077	8235
544	3082	8228
545	3087	8222
546	3092	8214
547	3097	8206
548	3101	8198
549	3106	8190
550	3111	8183
551	3117	8177
552	3122	8170
553	3127	8162
554	3132	8155
555	3137	8147
556	3142	8140
557	3147	8134
558	3153	8129
559	3159	8123
560	3166	8122
561	3173	8120
562	3178	8113
563	3183	8106
564	3189	8101
565	3194	8094
566	3199	8086
567	3205	8080
568	3210	8073
569	3215	8065
570	3220	8058
571	3224	8051
572	3230	8044
573	3235	8037
574	3239	8029
575	3245	8022
576	3250	8015
577	3255	8008
578	3261	8004
579	3266	7997
580	3271	7991
581	3276	7983
582	3282	7977
583	3287	7970
584	3292	7964
585	3297	7957
586	3303	7951
587	3308	7944
588	3313	7938
